date,_pm25,year,month,day,PM25,Date
10/7/2017,65,2017,10,7,27.34333333,10/7/2017
10/8/2017,86,2017,10,8,26.41833333,10/8/2017
10/9/2017,76,2017,10,9,24.605,10/9/2017
10/10/2017,106,2017,10,10,21.755,10/10/2017
10/11/2017,75,2017,10,11,20.73166667,10/11/2017
10/12/2017,67,2017,10,12,19.735,10/12/2017
10/13/2017,95,2017,10,13,19.56666667,10/13/2017
10/14/2017,82,2017,10,14,19.77,10/14/2017
10/15/2017,71,2017,10,15,20.19833333,10/15/2017
10/16/2017,43,2017,10,16,20.47166667,10/16/2017
10/17/2017,57,2017,10,17,20.725,10/17/2017
10/18/2017,70,2017,10,18,22.57,10/18/2017
10/19/2017,69,2017,10,19,23.71,10/19/2017
10/20/2017,69,2017,10,20,23.88666667,10/20/2017
10/21/2017,72,2017,10,21,24.39,10/21/2017
10/22/2017,84,2017,10,22,28.82833333,10/22/2017
10/23/2017,58,2017,10,23,31.61333333,10/23/2017
10/24/2017,69,2017,10,24,31.48166667,10/24/2017
10/25/2017,106,2017,10,25,37.07,10/25/2017
10/26/2017,107,2017,10,26,40.09333333,10/26/2017
10/27/2017,134,2017,10,27,35.03,10/27/2017
10/28/2017,109,2017,10,28,29.68,10/28/2017
10/29/2017,117,2017,10,29,28.45833333,10/29/2017
10/30/2017,119,2017,10,30,24.96333333,10/30/2017
10/31/2017,135,2017,10,31,21.55,10/31/2017
11/14/2017,114,2017,11,14,20.81666667,11/14/2017
11/15/2017,126,2017,11,15,20.96166667,11/15/2017
11/16/2017,137,2017,11,16,19.455,11/16/2017
11/17/2017,48,2017,11,17,22.80833333,11/17/2017
11/18/2017,89,2017,11,18,22.67666667,11/18/2017
11/19/2017,75,2017,11,19,22.12,11/19/2017
11/20/2017,68,2017,11,20,22.28333333,11/20/2017
11/21/2017,70,2017,11,21,23.41,11/21/2017
11/22/2017,82,2017,11,22,24.61666667,11/22/2017
11/23/2017,112,2017,11,23,24.41333333,11/23/2017
11/24/2017,126,2017,11,24,23.73833333,11/24/2017
11/25/2017,108,2017,11,25,26.20333333,11/25/2017
11/26/2017,96,2017,11,26,27.60333333,11/26/2017
11/27/2017,79,2017,11,27,25.40833333,11/27/2017
11/28/2017,87,2017,11,28,24.635,11/28/2017
11/29/2017,97,2017,11,29,29.95666667,11/29/2017
11/30/2017,128,2017,11,30,41.275,11/30/2017
12/1/2017,115,2017,12,1,43.53333333,12/1/2017
12/2/2017,116,2017,12,2,40.01166667,12/2/2017
12/3/2017,106,2017,12,3,37.25166667,12/3/2017
12/4/2017,105,2017,12,4,36.24067797,12/4/2017
12/5/2017,90,2017,12,5,34.5877551,12/5/2017
12/6/2017,119,2017,12,6,28.55932203,12/6/2017
12/7/2017,149,2017,12,7,26.39,12/7/2017
12/8/2017,106,2017,12,8,32.49833333,12/8/2017
12/9/2017,126,2017,12,9,31.06,12/9/2017
12/20/2017,121,2017,12,20,27.84,12/20/2017
12/21/2017,98,2017,12,21,26.11166667,12/21/2017
12/22/2017,74,2017,12,22,30.05833333,12/22/2017
12/23/2017,87,2017,12,23,28.54333333,12/23/2017
12/24/2017,86,2017,12,24,26.52166667,12/24/2017
12/25/2017,78,2017,12,25,25.80833333,12/25/2017
12/27/2017,60,2017,12,27,28.93,12/27/2017
12/28/2017,86,2017,12,28,29.05833333,12/28/2017
12/29/2017,111,2017,12,29,31.965,12/29/2017
12/30/2017,109,2017,12,30,30.52333333,12/30/2017
12/31/2017,100,2017,12,31,29.91333333,12/31/2017
7/2/2017,78,2017,7,2,26.11833333,7/2/2017
7/3/2017,73,2017,7,3,26.26666667,7/3/2017
7/4/2017,79,2017,7,4,30.31666667,7/4/2017
7/5/2017,77,2017,7,5,37.14333333,7/5/2017
7/6/2017,100,2017,7,6,39.25833333,7/6/2017
7/7/2017,94,2017,7,7,33.92068966,7/7/2017
7/8/2017,104,2017,7,8,34.06111111,7/8/2017
7/9/2017,85,2017,7,9,24.9775,7/9/2017
7/10/2017,75,2017,7,10,24.7,7/10/2017
7/11/2017,87,2017,7,11,21.79375,7/11/2017
7/19/2017,94,2017,7,19,21.4,7/19/2017
7/20/2017,103,2017,7,20,19.595,7/20/2017
7/21/2017,100,2017,7,21,20.71166667,7/21/2017
7/22/2017,83,2017,7,22,24.34,7/22/2017
7/23/2017,80,2017,7,23,21.11833333,7/23/2017
7/24/2017,83,2017,7,24,21.8,7/24/2017
7/25/2017,89,2017,7,25,21.03833333,7/25/2017
7/26/2017,66,2017,7,26,20.75166667,7/26/2017
7/27/2017,67,2017,7,27,23.95333333,7/27/2017
7/28/2017,51,2017,7,28,19.205,7/28/2017
7/29/2017,56,2017,7,29,21.80666667,7/29/2017
7/30/2017,63,2017,7,30,21.17833333,7/30/2017
7/31/2017,71,2017,7,31,26.03666667,7/31/2017
8/1/2017,68,2017,8,1,27.52,8/1/2017
8/2/2017,70,2017,8,2,22.14,8/2/2017
8/3/2017,76,2017,8,3,21.80588235,8/3/2017
8/4/2017,72,2017,8,4,31.51555556,8/4/2017
8/5/2017,72,2017,8,5,27.755,8/5/2017
8/6/2017,85,2017,8,6,27.90833333,8/6/2017
8/7/2017,94,2017,8,7,19.32,8/7/2017
8/8/2017,93,2017,8,8,18.31702128,8/8/2017
8/9/2017,76,2017,8,9,17.61282051,8/9/2017
8/10/2017,60,2017,8,10,16.79268293,8/10/2017
8/11/2017,81,2017,8,11,17.835,8/11/2017
8/12/2017,71,2017,8,12,16.84833333,8/12/2017
8/13/2017,88,2017,8,13,17.01833333,8/13/2017
8/14/2017,57,2017,8,14,20.11166667,8/14/2017
8/15/2017,54,2017,8,15,20.48666667,8/15/2017
8/16/2017,44,2017,8,16,22.52833333,8/16/2017
8/17/2017,60,2017,8,17,22.20333333,8/17/2017
8/18/2017,72,2017,8,18,28.37666667,8/18/2017
8/19/2017,62,2017,8,19,22.37333333,8/19/2017
8/20/2017,89,2017,8,20,15.80333333,8/20/2017
8/21/2017,65,2017,8,21,21.31,8/21/2017
8/22/2017,74,2017,8,22,27.89833333,8/22/2017
8/23/2017,54,2017,8,23,20.77,8/23/2017
8/24/2017,49,2017,8,24,25.06,8/24/2017
8/25/2017,51,2017,8,25,20.20666667,8/25/2017
8/26/2017,58,2017,8,26,22.50333333,8/26/2017
8/27/2017,58,2017,8,27,24.62833333,8/27/2017
8/28/2017,31,2017,8,28,28.72,8/28/2017
8/29/2017,49,2017,8,29,33.66923077,8/29/2017
8/30/2017,75,2017,8,30,15,8/30/2017
8/31/2017,103,2017,8,31,13.67,8/31/2017
9/1/2017,112,2017,9,1,11.865,9/1/2017
9/2/2017,80,2017,9,2,13.665,9/2/2017
9/3/2017,59,2017,9,3,15.96,9/3/2017
9/4/2017,53,2017,9,4,14.58166667,9/4/2017
9/5/2017,52,2017,9,5,15.78666667,9/5/2017
9/6/2017,63,2017,9,6,34.9,9/6/2017
9/7/2017,58,2017,9,7,37.34418605,9/7/2017
9/12/2017,96,2017,9,12,30.21428571,9/12/2017
9/13/2017,104,2017,9,13,30.04285714,9/13/2017
9/14/2017,103,2017,9,14,28.66458333,9/14/2017
9/15/2017,60,2017,9,15,24.76964286,9/15/2017
9/19/2017,66,2017,9,19,24.38387097,9/19/2017
9/20/2017,82,2017,9,20,25.88571429,9/20/2017
9/21/2017,123,2017,9,21,27.61428571,9/21/2017
9/22/2017,139,2017,9,22,30.41,9/22/2017
9/23/2017,94,2017,9,23,29.02833333,9/23/2017
9/24/2017,69,2017,9,24,29.98166667,9/24/2017
9/25/2017,62,2017,9,25,33.14333333,9/25/2017
9/26/2017,64,2017,9,26,37.78166667,9/26/2017
9/27/2017,81,2017,9,27,45.24,9/27/2017
9/28/2017,82,2017,9,28,50.85166667,9/28/2017
9/29/2017,61,2017,9,29,26.28666667,9/29/2017
9/30/2017,96,2017,9,30,21.09333333,9/30/2017
10/1/2017,47,2017,10,1,19.25166667,10/1/2017
4/2/2017,92,2017,4,2,23.62666667,4/2/2017
4/3/2017,110,2017,4,3,24.27666667,4/3/2017
4/4/2017,97,2017,4,4,36.04833333,4/4/2017
4/5/2017,114,2017,4,5,40.875,4/5/2017
4/6/2017,81,2017,4,6,37.03269231,4/6/2017
4/7/2017,71,2017,4,7,37.24,4/7/2017
4/8/2017,76,2017,4,8,37.46603774,4/8/2017
4/9/2017,87,2017,4,9,30.87058824,4/9/2017
4/10/2017,73,2017,4,10,22.496875,4/10/2017
4/11/2017,67,2017,4,11,21.85,4/11/2017
4/12/2017,66,2017,4,12,37.79166667,4/12/2017
4/13/2017,74,2017,4,13,31.16166667,4/13/2017
4/14/2017,61,2017,4,14,29.33333333,4/14/2017
4/15/2017,36,2017,4,15,23.005,4/15/2017
4/16/2017,53,2017,4,16,30.14666667,4/16/2017
4/17/2017,48,2017,4,17,21.42,4/17/2017
4/18/2017,37,2017,4,18,27.63833333,4/18/2017
4/19/2017,48,2017,4,19,29.25666667,4/19/2017
4/20/2017,49,2017,4,20,28.655,4/20/2017
4/21/2017,31,2017,4,21,27.555,4/21/2017
4/22/2017,38,2017,4,22,34.55666667,4/22/2017
4/23/2017,72,2017,4,23,39.035,4/23/2017
